GeneID	TotalCounts
g2765	0
g2766	0
g2767	0
g2768	0
g2769	0
g277	667
g2770	1058
g2771	4145
g2772	439
g2773	3370
g2774	190
g2775	154
g2776	8
g2777	1
g2778	162
g2779	0
g278	0
g2780	63
g2781	1291
g2782	11
g2783	2
g2784	21299
g2785	269227
g2786	217
g2787	137
g2788	12
g2789	156
g279	0
g2790	293
g2791	741
g2792	78157
g2793	1646
g2794	7
g2795	1656
g2796	2045
g2797	1
g2798	242
g2799	3
g28	0
g280	0
g2800	1955
g2801	6
g2802	184
g2803	114126
g2804	686
g2805	414
g2806	2489
g2807	208
g2808	2
g2809	0
g281	8
g2810	2720
g2811	45931
g2812	6608
g2813	3773
g2814	9
g2815	334
g2816	1
g2817	23131
g2818	8442
g2819	1
g282	6949
g2820	26144
g2821	129
g2822	2
g2823	0
g2824	11179
g2825	2345
g2826	154
g2827	17
g2828	1
g2829	261
g283	0
g2830	121
g2831	5
g2832	3
g2833	174
g2834	41
g2835	39
g2836	2
g2837	417
g2838	175
g2839	79
g284	1
g2840	3771
g2841	7885
g2842	0
g2843	364
g2844	80
g2845	168
g2846	24242
g2847	4373
g2848	231
g2849	706
g285	0
g2850	0
g2851	19
g2852	3412
g2853	6569
g2854	1701
g2855	4524
g2856	0
g2857	196
g2858	35
g2859	4
g286	1251
g2860	9
g2861	20
g2862	0
g2863	0
g2864	0
g2865	0
g2866	0
g2867	134
g2868	0
g2869	0
g287	114
g2870	1
g2871	34
g2872	331
g2873	0
g2874	0
g2875	12
g2876	2602
g2877	0
g2878	4905
g2879	0
g288	879
g2880	2
g2881	67902
g2882	13046
g2883	436
g2884	5
g2885	7
g2886	20088
g2887	2432
g2888	192
g2889	0
g289	26754
g2890	3798
g2891	219
g2892	1741
g2893	19486
g2894	1
g2895	0
g2896	2
g2897	7925
g2898	34
g2899	6
g29	0
g290	2
g2900	0
g2901	0
g2902	2889
g2903	10
g2904	1
g2905	1478
g2906	0
g2907	1
g2908	0
g2909	15648
g291	1
g2910	27
g2911	5611
g2912	102
g2913	0
g2914	157
g2915	6320
g2916	5
g2917	959
g2918	17
g2919	1038
g292	92
g2920	0
g2921	1
g2922	19
g2923	128
g2924	48
g2925	531
g2926	0
g2927	1212
g2928	1869
g2929	4
g293	0
g2930	187
g2931	469
g2932	0
g2933	1151
g2934	154
g2935	22
g2936	261
g2937	8511
g2938	9922
g2939	0
g294	274
